"Title: Status of State Action on the Medicaid Expansion Decision | KFF State Health Facts"
"Timeframe: September 2025"
"Location","Status of Medicaid Expansion Decision","Expansion Implementation Date","Expansion Adopted Through Ballot Initiative","Trigger Law In Place",Footnotes
"United States","Adopted: 41 states (incl. DC)  Not Adopted: 10 states","","Yes: 7 states   No: 34 states (incl. DC)  Not Adopted: 10 states","Yes: 13 states  No: 28 states (incl. DC)  Not Adopted: 10 states"
"Alabama","Not Adopted","N/A","N/A",""
"Alaska","Adopted","9/1/2015","No","No"
"Arizona","Adopted","1/1/2014","No","Yes","1"
"Arkansas","Adopted","1/1/2014","No","Yes","1"
"California","Adopted","1/1/2014","No","No"
"Colorado","Adopted","1/1/2014","No","No"
"Connecticut","Adopted","1/1/2014","No","No"
"Delaware","Adopted","1/1/2014","No","No"
"District of Columbia","Adopted","1/1/2014","No","No"
"Florida","Not Adopted","N/A","N/A",""
"Georgia","Not Adopted","N/A","N/A",""
"Hawaii","Adopted","1/1/2014","No","No"
"Idaho","Adopted","1/1/2020","Yes (November 2018)","Yes","2, 3"
"Illinois","Adopted","1/1/2014","No","Yes","1"
"Indiana","Adopted","2/1/2015","No","Yes","1"
"Iowa","Adopted","1/1/2014","No","Yes","3"
"Kansas","Not Adopted","N/A","N/A",""
"Kentucky","Adopted","1/1/2014","No","No"
"Louisiana","Adopted","7/1/2016","No","No"
"Maine","Adopted","1/10/2019","Yes (November 2017)","No","4"
"Maryland","Adopted","1/1/2014","No","No"
"Massachusetts","Adopted","1/1/2014","No","No"
"Michigan","Adopted","4/1/2014","No","No"
"Minnesota","Adopted","1/1/2014","No","No"
"Mississippi","Not Adopted","N/A","N/A",""
"Missouri","Adopted","10/1/2021","Yes (August 2020)","No","5"
"Montana","Adopted","1/1/2016","No","Yes","1"
"Nebraska","Adopted","10/1/2020","Yes (November 2018)","No","6"
"Nevada","Adopted","1/1/2014","No","No"
"New Hampshire","Adopted","8/15/2014","No","Yes","1"
"New Jersey","Adopted","1/1/2014","No","No"
"New Mexico","Adopted","1/1/2014","No","Yes","3"
"New York","Adopted","1/1/2014","No","No"
"North Carolina","Adopted","12/1/2023","No","Yes","1, 7"
"North Dakota","Adopted","1/1/2014","No","No"
"Ohio","Adopted","1/1/2014","No","Yes","1"
"Oklahoma","Adopted","7/1/2021","Yes (June 2020)","No","8"
"Oregon","Adopted","1/1/2014","No","No"
"Pennsylvania","Adopted","1/1/2015","No","No"
"Rhode Island","Adopted","1/1/2014","No","No"
"South Carolina","Not Adopted","N/A","N/A",""
"South Dakota","Adopted","7/1/2023","Yes (November 2022)","No","9"
"Tennessee","Not Adopted","N/A","N/A",""
"Texas","Not Adopted","N/A","N/A",""
"Utah","Adopted","1/1/2020","Yes (November 2018)","Yes","1, 10"
"Vermont","Adopted","1/1/2014","No","No"
"Virginia","Adopted","1/1/2019","No","Yes","1"
"Washington","Adopted","1/1/2014","No","No"
"West Virginia","Adopted","1/1/2014","No","No"
"Wisconsin","Not Adopted","N/A","N/A",""
"Wyoming","Not Adopted","N/A","N/A",""

"Notes"
"States' decisions about adopting the Medicaid expansion are as of September 2025. "
""
"A central goal of the Affordable Care Act (ACA) is to significantly reduce the number of uninsured by providing a continuum of affordable coverage options through Medicaid and the Health Insurance Marketplaces. The ACA expands Medicaid coverage for most low-income adults to 138% of the federal poverty level (FPL); see this [table](https://www.kff.org/health-reform/state-indicator/medicaid-income-eligibility-limits-for-adults-as-a-percent-of-the-federal-poverty-level/) for state by state Medicaid income eligibility levels for adults. Following the June 2012 Supreme Court decision, states face a decision about whether to adopt the Medicaid expansion. It is important to note that per CMS guidance, there is no deadline for states to implement the Medicaid expansion."
""
"For additional information, including a downloadable map and detailed table of state actions toward adopting Medicaid expansion, please click [here](https://www.kff.org/medicaid/issue-brief/status-of-state-medicaid-expansion-decisions-interactive-map/)."

"Sources"
"Current status for each state is based on KFF tracking and analysis of state executive activity."


Footnotes
"1. Ten states (Arizona, Arkansas, Illinois, Indiana, Montana, New Hampshire, North Carolina, Ohio, Utah, and Virginia) have trigger laws that require termination of the expansion if the share of federal funding drops."
"2. Idaho voted to adopt Medicaid expansion in November 2018; however in 2019 Governor Brad Little signed a bill passed by the legislature that directed the Idaho Department of Health and Welfare to seek waivers for multiple changes to the expansion program, including to add a work requirement as a condition of eligibility for coverage (which was never approved) and allow individuals between 100-138% FPL to receive advanced premium tax credits to enroll in a QHP (which was rejected)."
"3. Three states (Idaho, Iowa, and New Mexico) have trigger laws that require the states to take some action mitigating fiscal impact if the share of federal funding drops."
"4. Maine voted to adopt Medicaid expansion through a ballot initiative in November 2017; however, former Governor Paul LePage delayed implementation for months. On January 10, 2019, under a new Governor, the state began implementing the expansion with coverage retroactive to July 2018."
"5. Medicaid coverage under expansion began in Missouri when the state started accepting applications in August 2021 and began processing applications in October 2021, with coverage retroactive to July 1, 2021 consistent with a state supreme court order. In May 2021, individuals who would be eligible for expansion coverage filed a lawsuit against the state after Governor Mike Parson announced that the state would not implement expansion because the ballot measure did not include a revenue source. However, in July 2021, the Missouri Supreme Court ruled that the initiated amendment is valid under the state constitution and that the legislature’s budget appropriation authorizes the state to fund expansion coverage."
"6. After Nebraska voters approved of the ballot measure in November 2018, the state delayed implementation of the expansion while it sought approval for an 1115 waiver. In October 2020, CMS approved Nebraska's request for a Section 1115 waiver to implement expansion with work and healthy behavior requirements. On August 17, 2021, Nebraska terminated the waiver after being notified that the Biden administration was moving to withdraw work requirements. The state began offering all expansion adults full benefits starting October 1, 2021."
"7. North Carolina's legislation to expand Medicaid also included trigger provisions to discontinue the expansion if the enhanced federal matching rate (FMAP) drops below 90% or if the state’s financing mechanisms become insufficient as well as provisions to increase hospital assessments to fund the state share of expansion, increase hospital reimbursement rates, implement a comprehensive workforce development and referral program, and seek federal approval to condition Medicaid eligibility on compliance with work requirements if there is any indication that work requirements as a condition of participation in Medicaid may be authorized by CMS."
"8. Oklahoma voters approved a ballot measure on June 30, 2020 that added Medicaid expansion to the state’s constitution and prohibited any additional burdens or restrictions on eligibility for the expansion population."
"9. Voters in South Dakota approved a ballot measure on November 8, 2022, which added Medicaid expansion to the state constitution. Language in the approved measure prohibits the imposition of any additional burdens or restrictions on eligibility or enrollment for the expansion population."
"10. After Utah voters approved the Medicaid expansion ballot measure in November 2018, the state legislature took steps to roll back the full expansion by directing the state to submit a series of Section 1115 Waivers. On December 23, 2019, CMS approved certain provisions in the state’s ""Fallback Plan"" waiver request, effective January 1, 2020; the approval also included work requirements for the newly expanded adult Medicaid population. In August 2021, the Biden administration withdrew approval of the work requirement."
